,Lithology,,,,,,,,,,Alteration,,,,,Mineralization,,,,
"Hole 
Number","From 
(m)","To 
(m)","Base 
Lithology","Litho 
Detailed","Lith 
General","Lith
Grain Size","Lith
Texture1","Lith 
Texture2","Lith
Texture3",Lith Description,"Alt 
From (m)","Alt
To (m)","Dominant 
Alteration",Intensity,Dominant Alt Mins,"Min 
From (m)","Min
To (m)","Py pct
NV*","Ccp pct
NV*","Bn pct
AXE-23-002,135.45,178.4,VCL,VCL,VCB,FMG,XEN,POR,,med-dark gey-green volcanoclastic or brecciated andesite. Top contact is unclear as there is strong argillic alt before core loss but after 135.45 there are obvious clasts seen. Matrix is fine-med grained with mostly sub-angular clasts composed of possible diorite and andesite. Clasts range from less than a cm to many cms. Slightly magnetic in spots.,137,178.4,ARG,3,Py+ser+clay+/-qtz,135.45,178.4,0.5,0.05,0
AXE-23-002,178.4,194.55,MM,MM,VCB,VFG,CHL,APHAN,,"Skarn starts gradually with varying amounts of magnetite+pyrite+epidote+chalcopyrite+garnet+actinolite. Where the alteration instensity is low, protolith is still the same volcanic breccia. Strongest skarn section is between 185.5-194.5 m characterized with very fine grained magnetite+pyrite+epidote. Sericite overprint that grades into clay alteration in some intervals. Possible cave-in material between 182-185.42 m. Dominant veining is magnetite+py+chalcopyrite crackles and veins. Minor py+ep+cp veins. Pyrite and chalcopyrite is most likely secondary, replacing magnetite skarn and magnetite veins. Late calcite veining.",178.4,194.55,SKN,6,Mag+ep+act+gn,178.4,182.16,10,1,0
,,,,,,,,,,,,,,,,182.16,185.42,0.5,0.5,0
AXE-23-002,194.55,206.86,VCL,VCL,FLT,VFG,,,,"Section starts with a 10 cm calcite vein with minor cpy+py. This is a faulted section with intense rubble, fault gouge, and clay altered section. Original rock texture is completely enhanced and the photolith is assumed to be continuation of uphole volcanic breccia unit. Original epidote alteration overprinted by strong retrograde clay alteration. No magnetite (possibly destroyed as a result of alteration), and most of the sulphide mineralization is lost to the clay alteration. ~0.5 cpy",194.55,206.86,ARG,6,Fault gouge,194.55,206.86,1,0,0.5
AXE-23-002,206.86,217.5,MM,MM,VCB,VFG,APHAN,STR,,"Magnetite+epidote skarn after the fault. Compared to the other skarn level, this skarn is characterized with magnetite and epidote with less sulphides. Very fine grained magnetite and epidote bands. Possibly this section is not overprinted by a sulphide rich fluid. Clay overprint. Very low recovery but less rubble.",206.86,217.5,SKN,7,Magnetite,206.86,217.5,5,1,0
AXE-23-002,217.5,251.42,VCL,VCL,VCB,,APHAN,XEN,CHL,"Polymictic conglomerate with tuff land porphyry andesite evels.Weak to moderate propylitic alt dominated with ep, minor chl and act. Propylitic alt is mostly confined in xenoliths or propylitic veins. Propylitic is overprinted by sericite and silicification. Clay alteration is dominant between 217.5-230 m and 241-251.42 m. Groundmass and xennoliths have a very dull, glassy look due to the silicification. Dominant veining is late calcite and type 2 propylitic+/-calcite veins. These veins usually contain clay minerals and leached out with the clay alteration. Generally, poor in sulphides except a few intervals with ccp and py dusting (217.5-233 m). Crushed section between 241-251.42 m. Section ends with a chilled margin (strong epidote+clay alteration) related to the dyke contact at 251.42 m.",217.5,230,ARG,3,Clay+sericite+quartz,217.5,251.42,0.5,0.5,0
,,,,,,,,,,,230,241,ARG,3,Clay+sericite+quartz,,,,,
,,,,,,,,,,,241,248.4,ARG,4,Fault gouge,,,,,
,,,,,,,,,,,248.4,251.42,ARG,5,Clay+ep,,,,,
AXE-23-002,251.42,260,AND,AND,DYK,FG,POR,,,"West Zone post-mineral microdiorite/andesite dyke. Section includes horses of country rock between 258-259 m. Weak chl alteration of hornblende pheoncrysts, and a weak sericite overprint. No sulphides. Late calcite veining.",251.42,260,SCC,3,Sericite+chlorite,251.42,260,0,0,0
AXE-23-002,260,267.9,DIO,DIO,SVI,FMG,EQUI,,,"Some sections resemble a diorite, some are volcanic breccia but too rubbly to make conclusion. Volcanic breccia with syn-volcanic intrusions. Ep+chl alt overprinted by clay and sericite focused mostly on fractures. Dis ccp and py common but irregularly distributed. Dominant veining is type 3b (ep+py), partially destroyed by clay alteration.",260,267.9,SCC,3,Chlorite+clay,260,267.9,2,1,0
AXE-23-002,267.9,269.86,AND,AND,DYK,VFG,APHAN,AMG,,West Zone post-mineral green amygdule andesite dyke. Amygdules are filled with calcite and minor epidote. Very fine actinolite rich groundmass. Type 2 cal+ep veining. No sulphides.,267.9,269.86,PRO,2,Act+ep,267.9,269.86,0,0,0
AXE-23-002,269.86,275.18,AND,AND,VCB,,,,,Same unit before the dyke. No more diorite and the core resembles volcanic breccia. Similar alteration and veining types. Propylitic overptinted by clay. Less dis ccp and py.,269.86,275.18,PRO,3,Ep+chl+act,269.86,275.18,1,1,0
AXE-23-002,275.18,278,AND,AND,DYK,VFG,AMG,APHAN,,West Zone post-mineral green amygdule andesite dyke. Amygdules are filled with calcite and minor epidote. Very fine actinolite rich groundmass. Type 2 cal+ep veining. No sulphides.,275.18,278,PRO,2,Act+ep,275.18,278,0,0,0
AXE-23-002,278,279.95,AND,AND,VCB,,,,,"Same unit before the dyke. Volcanic breccia with primary propylitic alt (ep+chl) overprinted by clay alteration. Dominant veining is type 3b (ep+py), partially destroyed by clay alteration.",278,279.95,PRO,3,Ep+chl+act,278,279.95,0.5,0.1,0
AXE-23-002,279.95,280.48,DIO,DIO,SVI,FMG,EQUI,,,Syn-volcanic diorite intrusion. Disseminated magnetite and sulphides (ccp+py). Dominant type 2 veining. Propylitic alt overprinted by clay alteration. Veins are partially destroyed by clay alteration.,279.95,280.48,ARG,4,Clay,279.95,280.48,1,1,0
AXE-23-002,280.48,285.2,VCL,VCL,VCB,,,,,"This unit starts with good RQD rock and gypsum veins. This was interpreted to be a structural contacts with a different unit. Undifferentiated volcaniclastics (dominated by polymictic conglomerate, volcanic breccia, andesite lava flows and tuff) in the footwall. Dark magnetic andesite and white colored siltstone or rhyolite clasts. Dominant ep+chl alteration, mostly vein controlled, with xenoliths partially ep altered. This was overprinted by a weak sericite alteration (mostly in the groundmass). Abundant gypsum and type 2 veins (ep+cal). Ep is usually at the salvage of gypsum veins suggesting a reactivation of older type 2 veins. At least three set of gypsum veining crosscutting each other. Rare early magnetite stringers. Decent but irregular ccp mineralization. Mostly occuring as dusting in the xenoliths!, and occasional blebs. At 284.15 m 3 cm thick qtz+ccp vein is cut by later type 2 veins is present. Anomolous dis ccp around this vein. Most of the ccp is concentrated on ep alt.",280.48,285.2,PRO,4,Ep+hl+act,280.48,285.2,1,0.6,0
AXE-23-002,285.2,288.03,AND,AND,DYK,VFG,POR,,,This section includes two set of post-mineral dykes cross-cutting each other and intervals of mineralized country rock. A late hornblende phyric post-mineral andesite dyke and an early amygdoidal dyke with propylitic veins. Both dykes are cut by gypsum veins. Cl altered hornblendes with a weak sericite overprint.,285.2,288.03,SCC,2,Chlorite+sericite,285.2,288.03,0.5,0.3,0
AXE-23-002,288.03,291.48,VCL,VCL,VCB,,,,,"Undifferentiated volcaniclastics (dominated by polymictic conglomerate, volcanic breccia, andesite lava flows, tuff and possible rare syn-volcanic intrusions). Dark magnetic andesite and white colored siltstone or rhyolite clasts. Dominant ep+chl alteration, mostly vein controlled, with xenoliths partially ep altered. This was overprinted by a weak sericite alteration (mostly in the groundmass). Abundant gypsum and type 2 veins (ep+cal). Ep is usually at the salvage of gypsum veins suggesting a reactivation of older type 2 veins. At least three set of gypsum veining crosscutting each other.  Decent but irregular ccp mineralization. Mostly occuring as dusting in the xenoliths!, and occasional blebs. Interval between 288.8-289.1 m has two sets of type 4 veins. An early type 4c veins (ccp+py+mag) with 20 TCA is cut by type 4a (ccp+py veins) veins with 40 TCA.",288.03,291.48,PRO,3,Ep+chl+act,288.03,291.48,1,0.5,0
AXE-23-002,291.48,292.75,AND,AND,DYK,VFG,POR,,,"Similar to the other section post-mineral hornblende phyric andesite dyke. Not mineralized, cut by gypsum veins but not propylitic. Barren.",291.48,292.75,SCC,2,Chlorite+sericite,291.48,292.75,0,0,0
AXE-23-002,292.75,309.44,VCL,VCL,VCB,,,,,"Undifferentiated volcaniclastics (dominated by polymictic conglomerate, volcanic breccia, andesite lava flows, tuff and possible rare syn-volcanic intrusions). Dark magnetic andesite and white colored siltstone or rhyolite clasts with intervals of hem groundmass. Dominant ep+chl alteration, mostly vein controlled, with xenoliths partially ep altered. This was overprinted by a weak to moderate sericite alteration (mostly in the groundmass). Abundant gypsum and type 4b veins (ep+cal+ccp+py). Ep+ccp+py is usually at the salvage of gypsum veins suggesting a reactivation of older type 4b veins. At least three set of gypsum veining crosscutting each other.  Decent but irregular ccp mineralization. Mostly occuring as dusting in the xenoliths!, and occasional blebs. Dis ccp is mostly associated with ep alt. Sulphide mineralization drops after 306 m.",292.75,309.44,PRO,4,Ep+chl+act,292.75,309.44,1,1,0
AXE-23-002,309.44,309.9,AND,AND,DYK,VFG,APHAN,AMG,,"Similar to the other section post-mineral amygdule andesite dyke. Not mineralized, cut by gypsum veins but not propylitic. Barren.",309.44,309.9,SCC,2,Chlorite+sericite,309.44,309.9,0,0,0
AXE-23-002,309.9,318.2,VCL,VCL,VCB,,,,,"Undifferentiated volcaniclastics (dominated by polymictic conglomerate, volcanic breccia, andesite lava flows, tuff and possible rare syn-volcanic intrusions). Dark magnetic andesite and white colored siltstone or rhyolite clasts with intervals of hem groundmass. Dominant ep+chl alteration, mostly vein controlled, with xenoliths partially ep altered. This was overprinted by a weak to moderate sericite alteration (mostly in the groundmass). Abundant gypsum and type 2 veins (ep+cal+/-py). Ep+cal+/-py is usually at the salvage of gypsum veins suggesting a reactivation of older type 2 veins. At least three set of gypsum veining crosscutting each other. Dis ccp. Mostly occuring as dusting in the xenoliths!, and occasional blebs. Dis ccp is mostly associated with ep alt.",309.9,318.2,PRO,4,Ep+chl+act,309.9,318.2,0.5,0.1,0
AXE-23-002,318.2,319.45,AND,AND,DYK,VFG,APHAN,AMG,,"Similar to the other section post-mineral amygdule andesite dyke. Not mineralized, cut by gypsum veins but not propylitic. Barren.",318.2,319.45,SCC,2,Chlorite+sericite,318.2,319.45,0,0,0
AXE-23-002,319.45,325,VCL,VCL,VCB,,,,,"Undifferentiated volcaniclastics (dominated by polymictic conglomerate, volcanic breccia, andesite lava flows, tuff and possible rare syn-volcanic intrusions). Dark magnetic andesite and white colored siltstone or rhyolite clasts with intervals of hem groundmass. Dominant ep+chl alteration, mostly vein controlled, with xenoliths partially ep altered. This was overprinted by a weak to moderate sericite alteration (mostly in the groundmass). Abundant gypsum and type 2 veins (ep+cal+/-py). Ep+cal+/-py is usually at the salvage of gypsum veins suggesting a reactivation of older type 2 veins. At least three set of gypsum veining crosscutting each other. Dis ccp. Mostly occuring as dusting in the xenoliths!, and occasional blebs. Dis ccp is mostly associated with ep alt.",319.45,325,PRO,4,Ep+chl+act,319.45,325,0.5,0.1,0
AXE-23-002,325,326.28,AND,AND,DYK,VFG,APHAN,AMG,,"Similar to the other section post-mineral amygdule andesite dyke. Not mineralized, cut by gypsum veins but not propylitic. Barren.",325,326.28,SCC,2,Chlorite+sericite,325,326.28,0,0,0
AXE-23-002,326.28,361.74,VCL,VCL,VCB,,,,,"Undifferentiated volcaniclastics (dominated by polymictic conglomerate, volcanic breccia, andesite flows, tuff and possible rare syn-volcanic intrusions). Dark magnetic andesite, white colored siltstone or rhyolite and hem altered clasts. Between 350.5-353.5 m unit grades into a porphyry andesite. Chl+ep alteration with chl altering the groundmass and ep being confined in the veins or partially replacing clasts. This was overprinted by silicification, giving the core a glassy dull look, and pervasive sericite grading into clay alteration in the fractures especially between 326-341 m. Section between 326.28-341 m is cut by calcite stockwork which increased the overall clay content. Dominant veining is late gypsum and calcite veins. Minor type 2 ep+cal veins. Ccp mineralization is associated with ep alt and generally in dissseminated form. No ccp bearing veins.",326.28,341,PHY,3,Chlorite+clay,326.28,341,1,0.5,0
,,,,,,,,,,,341,350.5,PRO,3,Ep+chl,341,350.5,1,0.5,0
,,,,,,,,,,,350.5,361.74,PRO,5,Ep+chl,,,,,
AXE-23-002,361.74,363.02,AND,AND,DYK,VFG,POR,,,Post-mineral augite-hornblende phyric basaltic andesite dyke. Ep altered hornblende phenocrysts and abundant ep veins.,361.74,363.02,PRO,4,Ep,361.74,363.02,0,0,0
AXE-23-002,363.02,365.27,AND,AND,SVI,FMG,POR,,,Porphyry andesite with levels grading into synvolcanic diorite intrusions. Ep+chl altered phenocrysts and groundmass. Dominant type 2 (ep+cal+/-hem) veins without pyrite. Hematite altered groundmass and hem envelope around type 2 veins (ep+cal). Dis and blebs of ccp. Late gypsum veins opening on existing type 2 veins. Glassy and dull look due to silicification.,363.02,365.27,PRO,5,Ep+chl,363.02,365.27,0.5,0.3,0
AXE-23-002,365.27,365.64,AND,AND,DYK,VFG,POR,,,Post-mineral augite-hornblende phyric basaltic andesite dyke. Ep altered hornblende phenocrysts and abundant ep veins.,365.27,365.64,PRO,4,Ep,365.27,365.64,0,0,0
AXE-23-002,365.64,371.3,AND,AND,SVI,FMG,POR,,,Porphyry andesite with levels grading into synvolcanic diorite intrusions. Ep+chl altered phenocrysts and groundmass. Dominant type 2 (ep+cal+/-hem) veins without pyrite. Hematite altered groundmass and hem envelope around type 2 veins (ep+cal). Dis and blebs of ccp. Late gypsum veins opening on existing type 2 veins. Glassy and dull look due to silicification.,365.64,371.3,PRO,5,Ep+chl,365.64,371.3,0.5,0.3,0
AXE-23-002,371.3,371.57,AND,AND,DYK,VFG,POR,,,Post-mineral augite-hornblende phyric basaltic andesite dyke. Ep altered hornblende phenocrysts and abundant ep veins.,371.3,371.57,PRO,4,Ep,371.3,371.57,0,0,0
AXE-23-002,371.57,384.09,AND,AND,SVI,FMG,POR,,,Porphyry andesite with levels grading into synvolcanic diorite intrusions. Ep+chl altered phenocrysts and groundmass. Dominant type 2 (ep+cal+/-hem) veins without pyrite. Hematite altered groundmass and hem envelope around type 2 veins (ep+cal). Dis and blebs of ccp. Late gypsum veins opening on existing type 2 veins. Glassy and dull look due to silicification.,371.57,381.09,PRO,5,Ep+chl,371.57,384.09,0.5,0.5,0
,,,,,,,,,,,381.09,394.72,PRO,4,Ep,,,,,
AXE-23-002,384.09,394.72,AND,AND,DYK,VFG,POR,APHAN,,Very fine grained post-mineral porphyry andesite dyke. Phenos are tabular shaped but replaced by ep. Chl altered groundmass. Silicified. Type 2 veins and late gypsum veins. An early microdiorte dyke is present between 387.2-387.5 m.,,,,,,384.09,394.72,0,0,0
AXE-23-002,394.72,395.77,AND,AND,VCB,VFG,APHAN,POR,,"Very fine grained augite-hornblende phyric basaltic andesite flow. Chl altered groundmass, ep altered xenoliths and ep veins. Pot alt around ep veins. Anomolous dis py. Silicified. Type 2 veins rarely with py and ccp.",394.72,395.77,PRO,5,Chl+ep,394.72,395.77,3,0,0
AXE-23-002,395.77,397.95,AND,AND,DYK,VFG,POR,,,Very fine grained post-mineral porphyry andesite dyke. Phenos are tabular shaped but replaced by ep. Chl altered groundmass. Silicified. Type 2 veins and late gypsum veins.,395.77,397.95,PRO,3,Chl+ep,395.77,397.95,0,0,0
AXE-23-002,397.95,401.56,AND,AND,VCB,VFG,APHAN,POR,,"Very fine grained augite-hornblende phyric basaltic andesite flow. Chl altered groundmass, ep altered xenoliths and ep veins. Silicified. Type 2 veins rarely with py and ccp.",397.95,401.56,PRO,5,Ep+chl,397.95,401.56,2,0,0
AXE-23-002,401.56,425,VCL,VCL,VCB,CG,,,,"Polymictic conglomerate (dark colored andesite, white colored rhyolite, siltstone, and abundant red colored monzonite clasts). Chl,and ep alteration of matrix.  Silicified core. Dominant gypsum veining with minor cal+ccp and type 3 (ep+chl+py) veins. Ccp and py dusting on magnetite bearing clasts.",401.56,425,PRO,3,Chl+ep,401.56,425,1,2,0
AXE-23-002,425,455.21,VCL,VCL,VCB,CG,,,,"Polymictic conglomerate with subrounded to subangular clasts (red colored intrusive, black colored andesite, and white colored rhyolite clasts). The interval begins with propylitic alteration, still exhibiting chlorite and epidote. Subsequently, phyllic alteration is observed, characterized by minerals such as pyrite and sericite. Altered hematite clasts are also present. In the vein section, fractures filled with gypsum are observed, which were later cut by fractures filled with calcite. Additionally, veins of magnetite with pyrite are observed to a lesser extent. Disseminated chalcopyrite and pyrite are present. The section between 446.97 to 448.02 has fault gouge.",425,437.81,PRO,3,Ep+chl,425,437.81,1,0.3,0
,,,,,,,,,,,437.81,455,PHY,4,Py+ser,437.81,455,3,0.6,0
AXE-23-002,455.21,455.88,AND,AND,DYK,FG,APHAN,,,"Very fine grained andesite dyke with a minor presence of chlorite. Two sets of fractures filled by calcite are observed, with one set intersecting the other.",455.21,455.88,PRO,2,Chl,455.21,455.88,0,0,0
AXE-23-002,455.88,464,VCL,VCL,VCB,CG,,,,"Polymictic conglomerate with subrounded to subangular clasts (red colored intrusive, black colored andesite, and white colored rhyolite clasts) the interval begins with propylitic alteration, still exhibiting chlorite and epidote. Subsequently, phyllic alteration is observed, characterized by minerals such as pyrite and sericite. Altered hematite clasts are also present. In the vein section, fractures filled with gypsum are observed, which were later cut by fractures filled with calcite. Additionally, Veins filled with quartz and pyrite are observed, displacing the previously present gypsum. Veins of chalcopyrite, surrounded by chlorite, were found along with associated minerals such as sericite and py. Disseminated chalcopyrite and pyrite are present.",455.88,464,PHY,4,Py+ser,455.88,464,3,0.1,0
AXE-23-002,464,466.36,DIO,DIO,DYK,FG,EQUI,,,Microdiorite dyke show notable presence of chlorite and around 15% of Biotite. The microdiorite dike displays a moderate sericitic alteration. Fractures in two directions filled with calcite are observed.,464,466.36,SCC,4,Ser+chl,464,466.36,0,0,0
